j_name,seed,final_states,final_avg_p,track_count,stable_tracks,node_count,edge_count,component_count,largest_component,mean_degree,max_degree,mean_edge_K,mean_edge_d,mean_geodesic_d,max_geodesic_d,final_avg_memory,final_max_memory
linear_cutoff_0_35,18,120,0.11275073763644614,63,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.48101190140054667,0.5047668567422962
linear_cutoff_0_35,19,120,0.14116659110194577,91,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.43509278331125656,0.47800815631271093
linear_cutoff_0_35,20,120,0.10227944325045561,81,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.4828823535202097,0.5038563574491294
linear_cutoff_0_35,21,120,0.13186940475787173,73,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.48327279631609077,0.4980806182079163
linear_cutoff_0_35,22,120,0.11421507978974085,55,3,3,0,3,1,0,0,0.0,0.0,0.0,0.0,0.4887048195346828,0.5047668567422962
linear_cutoff_0_35,23,120,0.11917885585984472,81,3,3,1,2,2,0.6666666666666666,1,0.5478829186153996,0.6016936670226756,0.6016936670226756,0.6016936670226756,0.47009235217301837,0.500516586733179
linear_cutoff_0_35,24,120,0.11033998858908256,83,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0,0.47071338726432554,0.5027162725805205
linear_cutoff_0_35,25,120,0.11756300112662568,79,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.45953030422147745,0.49538982032807266
linear_cutoff_0_35,26,120,0.13811595820228284,51,4,4,0,4,1,0,0,0.0,0.0,0.0,0.0,0.4838007446895493,0.5037802859693944
linear_cutoff_0_35,27,120,0.1229919735790423,76,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.4790330389679366,0.5037802859693944
linear_cutoff_0_35,28,120,0.11844648911023595,61,3,3,0,3,1,0,0,0.0,0.0,0.0,0.0,0.48992533203240957,0.5016448090604372
linear_cutoff_0_35,29,120,0.11475887291875285,72,3,3,1,2,2,0.6666666666666666,1,0.43841272971152,0.8245945070191596,0.8245945070191596,0.8245945070191596,0.4627872325260603,0.5015687375807022
linear_cutoff_0_35,30,120,0.1158705509687664,78,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0,0.4813936505795946,0.5045902726720848
linear_cutoff_0_35,31,120,0.12304914558218366,88,3,3,1,2,2,0.6666666666666666,1,0.5351940375479822,0.6251259108355898,0.6251259108355898,0.6251259108355898,0.474616530761674,0.5047668567422962
linear_cutoff_0_35,32,120,0.11594288567012109,57,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.4912916817620548,0.5037802859693944
linear_cutoff_0_35,33,120,0.11053770202542,72,4,4,1,3,2,0.5,1,0.8181615291703287,0.2006954934503281,0.2006954934503281,0.2006954934503281,0.48875078972335156,0.5047668567422962
linear_cutoff_0_35,34,120,0.11092658725646909,81,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0,0.46557956102796483,0.49935543111947645
linear_cutoff_0_35,35,120,0.1304655375703184,77,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0,0.4711848970246009,0.4939431150753931
