seed,final_states,final_avg_p,avg_proto_distance,threshold,cluster_count,largest_cluster,mean_cluster_size,isolated_states,strong_joins,top_sizes
30,34,0.014606986220897256,3.1461794423287217,0.8,31,2,1.096774193548387,28,3,2 2 2 1 1 1 1 1 1 1
31,120,0.1436279897938499,1.2093842101581502,0.15,1,120,120,0,5703,120
31,120,0.1436279897938499,1.2093842101581502,0.25,2,119,60,1,4906,119 1
31,120,0.1436279897938499,1.2093842101581502,0.4,6,113,20,3,3496,113 2 2 1 1 1
31,120,0.1436279897938499,1.2093842101581502,0.6,15,105,8,13,1533,105 2 1 1 1 1 1 1 1 1
31,120,0.1436279897938499,1.2093842101581502,0.8,31,88,3.870967741935484,28,339,88 2 2 1 1 1 1 1 1 1
32,120,0.2815823198768684,1.4910995318496991,0.15,1,120,120,0,4735,120
32,120,0.2815823198768684,1.4910995318496991,0.25,2,119,60,1,4508,119 1
32,120,0.2815823198768684,1.4910995318496991,0.4,15,95,8,10,4193,95 6 4 3 2 1 1 1 1 1
32,120,0.2815823198768684,1.4910995318496991,0.6,18,95,6.666666666666667,14,2759,95 6 3 2 1 1 1 1 1 1
32,120,0.2815823198768684,1.4910995318496991,0.8,28,88,4.285714285714286,24,809,88 4 2 2 1 1 1 1 1 1
33,29,0.018352557727986427,2.98774080297934,0.15,2,27,14.5,0,86,27 2
33,29,0.018352557727986427,2.98774080297934,0.25,5,21,5.8,1,49,21 3 2 2 1
33,29,0.018352557727986427,2.98774080297934,0.4,13,9,2.230769230769231,8,21,9 6 2 2 2 1 1 1 1 1
33,29,0.018352557727986427,2.98774080297934,0.6,24,3,1.2083333333333333,20,5,3 2 2 2 1 1 1 1 1 1
33,29,0.018352557727986427,2.98774080297934,0.8,28,2,1.0357142857142858,27,1,2 1 1 1 1 1 1 1 1 1
34,35,0.01191999410225211,3.1398446563951814,0.15,1,35,35,0,107,35
34,35,0.01191999410225211,3.1398446563951814,0.25,2,29,17.5,0,58,29 6
34,35,0.01191999410225211,3.1398446563951814,0.4,19,4,1.8421052631578947,10,18,4 4 3 3 3 2 2 2 2 1
34,35,0.01191999410225211,3.1398446563951814,0.6,31,2,1.1290322580645162,27,4,2 2 2 2 1 1 1 1 1 1
34,35,0.01191999410225211,3.1398446563951814,0.8,35,1,1,35,0,1 1 1 1 1 1 1 1 1 1
35,120,0.07710264673024332,1.7646008361904593,0.15,1,120,120,0,4295,120
