j_name,seed,a5_init,final_states,stable_tracks,geo_score,node_count,edge_count,component_count,largest_component,mean_geodesic_d,max_geodesic_d,clustering_coeff,mean_edge_K,sparsity,diameter,e_per_n,regime,final_avg_memory
rational_p2,10,False,120,11,0.36909011031813055,11,5,7,4,1.1869173578777625,2.3084792074344707,0.21212121212121213,0.42317172178664997,0.9091,2.3085,0.455,unterkritisch,0.45230875833397083
rational_p2,11,False,120,14,0.4102154548017963,14,10,7,5,1.4540043341311633,3.024388996238147,0.19047619047619047,0.3691192806897168,0.8901,3.0244,0.714,geometrisch,0.4545920968610208
rational_p2,12,False,120,16,0.4603892756428093,16,14,4,5,1.6329188461895179,4.890648640997886,0.3229166666666667,0.47676848410187,0.8833,4.8906,0.875,geometrisch,0.4160223089165226
rational_p2,13,False,120,10,0.4573879944889924,10,9,4,5,1.6144265564465141,2.7398190395579314,0.3833333333333333,0.2971231805497136,0.8,2.7398,0.9,geometrisch,0.42374942973919466
rational_p2,14,False,120,15,0.5079120694643895,15,17,4,6,1.4731747226211247,4.2220340814130495,0.4666666666666667,0.44416950281710715,0.8381,4.222,1.133,geometrisch,0.42711581003921845
phi_exp,0,False,120,25,0.3180236525658898,25,9,16,3,1.160473051317796,2.562364736218786,0.0,0.4338911664488434,0.97,2.5624,0.36,unterkritisch,0.3224423213900372
phi_exp,1,False,120,30,0.4850191286222354,30,19,13,9,2.0091825724447077,4.208554396359792,0.2,0.4249646291349153,0.9563,4.2086,0.633,geometrisch,0.27902485675114375
phi_exp,2,False,120,22,0.4348684336660971,22,13,12,7,1.7345080672613362,3.8086270029702867,0.15151515151515152,0.3652791235865339,0.9437,3.8086,0.591,geometrisch,0.3731757909835676
phi_exp,3,False,120,26,0.3327152959277835,26,11,16,3,0.8819674570172078,1.4029579309147953,0.11538461538461539,0.483034703728397,0.9662,1.403,0.423,unterkritisch,0.32692812909328556
phi_exp,4,False,29,27,0.30607287661589333,27,9,18,3,0.9578575323178667,1.7842519462258477,0.0,0.45823190682909143,0.9744,1.7843,0.333,unterkritisch,0.4214886968887125
phi_exp,5,False,120,30,0.3454317647112443,30,11,21,5,1.2758352942248865,2.3365312265174927,0.0,0.4142389514754695,0.9747,2.3365,0.367,unterkritisch,0.35982240314895275
