j_func,alpha,beta,r_theory,r_mean,r_between_seed_std,r_within_tail_std,r_abs_error,r_slope_tail,m_max_mean,edges_mean,largest_component_mean,ico_score_mean,ico_score_seed_std,class
linf_exp,0.005,2.0,1.001669449081803,1.0016694490818028,0.0,0.0,2.220446049250313e-16,0.0,0.5008347245409014,66.0,12.0,0.418468586675725,0.00720130591855829,stable_horizon
linf_exp,0.0072973525205055605,2.0,1.0024383820847191,1.002438382084719,0.0,0.0,2.220446049250313e-16,0.0,0.5012191910423595,66.0,12.0,0.41846858667572495,0.00720130591855825,stable_horizon
linf_exp,0.02,2.0,1.0067114093959733,1.006711409395973,0.0,0.0,2.220446049250313e-16,0.0,0.5033557046979865,66.0,12.0,0.41846858667572495,0.007201305918558272,stable_horizon
linf_exp,0.05,2.0,1.0169491525423728,1.0169491525423726,0.0,0.0,2.220446049250313e-16,0.0,0.5084745762711863,66.0,12.0,0.41846858667572495,0.007201305918558255,stable_horizon
linf_exp,0.1,2.0,1.0344827586206897,1.0344827586206895,0.0,0.0,2.220446049250313e-16,0.0,0.5172413793103448,66.0,12.0,0.41846858667572495,0.007201305918558227,stable_horizon
linf_exp,0.2,2.0,1.0714285714285714,1.0714285714285712,0.0,0.0,2.220446049250313e-16,0.0,0.5357142857142856,66.0,12.0,0.41846858667572495,0.007201305918558257,analytic_tracking
linf_exp,0.3,2.0,1.111111111111111,1.111111111111111,0.0,0.0,0.0,0.0,0.5555555555555555,66.0,12.0,0.41846858667572495,0.007201305918558229,analytic_tracking
linf_exp,0.4,2.0,1.1538461538461537,1.1538461538461535,0.0,0.0,2.220446049250313e-16,0.0,0.5769230769230768,66.0,12.0,0.41846858667572495,0.007201305918558219,analytic_tracking
linf_exp,0.5,2.0,1.2,1.1999999999999997,0.0,0.0,2.220446049250313e-16,0.0,0.5999999999999999,66.0,12.0,0.41846858667572495,0.007201305918558268,analytic_tracking
linf_exp,0.6,2.0,1.25,1.2499999999999996,0.0,0.0,4.440892098500626e-16,0.0,0.6249999999999998,66.0,12.0,0.4184685866757249,0.007201305918558252,analytic_tracking
linf_exp,0.7,2.0,1.3043478260869565,1.304347826086956,0.0,0.0,4.440892098500626e-16,0.0,0.652173913043478,66.0,12.0,0.41846858667572495,0.00720130591855826,analytic_tracking
linf_exp,0.8,2.0,1.3636363636363635,1.3636363636363633,0.0,0.0,2.220446049250313e-16,0.0,0.6818181818181817,66.0,12.0,0.41846858667572495,0.007201305918558202,analytic_tracking
linf_exp,0.9,2.0,1.4285714285714286,1.4285714285714284,0.0,0.0,2.220446049250313e-16,0.0,0.7142857142857142,66.0,12.0,0.41846858667572495,0.00720130591855823,analytic_tracking
power,0.0,0.0,1.0,0.9999999999999996,0.0,0.0,4.440892098500626e-16,0.0,0.4999999999999998,66.0,12.0,0.4014771648902625,0.0074816733077643725,stable_horizon
power,0.005,0.0,1.0050251256281406,1.0050251256281397,0.0,0.0,8.881784197001252e-16,0.0,0.5025125628140699,66.0,12.0,0.4014771648902625,0.007481673307764324,stable_horizon
power,0.0072973525205055605,0.0,1.007350995324767,1.0073509953247661,0.0,0.0,8.881784197001252e-16,0.0,0.5036754976623831,66.0,12.0,0.40147716489026253,0.007481673307764286,stable_horizon
power,0.02,0.0,1.0204081632653061,1.0204081632653053,0.0,0.0,8.881784197001252e-16,0.0,0.5102040816326526,66.0,12.0,0.4014771648902625,0.007481673307764296,stable_horizon
power,0.05,0.0,1.0526315789473684,1.0526315789473675,0.0,0.0,8.881784197001252e-16,0.0,0.5263157894736837,66.0,12.0,0.4014771648902625,0.007481673307764361,analytic_tracking
power,0.1,0.0,1.1111111111111112,1.11111111111111,0.0,0.0,1.1102230246251565e-15,0.0,0.555555555555555,66.0,12.0,0.40147716489026253,0.007481673307764332,analytic_tracking
power,0.2,0.0,1.25,1.249999999999999,0.0,0.0,1.1102230246251565e-15,0.0,0.6249999999999994,66.0,12.0,0.40147716489026253,0.007481673307764374,analytic_tracking
power,0.3,0.0,1.4285714285714286,1.4285714285714273,0.0,0.0,1.3322676295501878e-15,0.0,0.7142857142857136,66.0,12.0,0.40147716489026253,0.007481673307764309,analytic_tracking
